Tahun,Kabupaten,Kecamatan,ChippingCount,Length,Volume,Larva
2024,Lampung Timur,Bandar Sribhawono,4683,8172,817.2,67827.6
2024,Lampung Timur,Bumi Agung,22,52,5.2,431.6
2024,Lampung Timur,Labuhan Ratu,6492,13399,1339.9,111211.7
2024,Lampung Timur,Marga Tiga,2588,5353,535.3,44429.9
2024,Lampung Timur,Mataram Baru,7853,14596,1459.6,121146.8
2024,Lampung Timur,Sekampung Udik,6440,11821,1182.1,98114.3
2024,Lampung Timur,Sukadana,6797,12260.41,1226.041,101761.403
2024,Lampung Timur,Way Jepara,7404,13777,1377.7,114349.1
2025,Lampung Selatan,Candipuro,1462,6091.09,690.448,57307.184
2025,Lampung Selatan,Kalianda,957,3569.5,408.45,33901.35
2025,Lampung Selatan,Katibung,610,2269.4,279.29,23181.07
2025,Lampung Selatan,Sidomulyo,1448,6189.51,700.866,58171.878
2025,Lampung Timur,Bandar Sribhawono,359,1794,202.2,16782.6
2025,Lampung Timur,Bumi Agung,11,54.5,5.45,452.35
2025,Lampung Timur,Marga Tiga,194,706.7,77.37,6421.71
2025,Lampung Timur,Mataram Baru,1206,5149,599.6,49766.8
2025,Lampung Timur,Sekampung Udik,3561,12196.75,1596.125,132478.375
2025,Lampung Timur,Sukadana,5,11.25,1.125,93.375
