Batch,Periode,Rencana,Aktual,Selisih,Improve,Target,Remark,Kecamatan,LuasDampak,Tahun
1,8-12 Des 2025,458.3333333,202.22,-456.50375,202.22,5500,Aktual,Bandar Sribhawono,768.642977,2025
2,15-19 Des 2025,916.6666667,475.826,-841.6215,475.826,5500,Aktual,Bumi Agung,569.011455,2025
3,22-26 Des 2025,1375,871.508,-1104.66325,871.508,5500,Aktual,Candipuro,1576.242669,2025
4,29 Des 2025 - 2 Jan 2026,1833.333333,1221.182,-1413.713,1221.182,5500,Aktual,Kalianda,1109.946014,2025
5,5-9 Jan 2026,2291.666667,1780.415,-1513.20375,1780.415,5500,Aktual,Katibung,3629.343369,2025
6,12-16 Jan 2026,2750,2406.109,-1546.2335,2406.109,5500,Aktual,Marga Tiga,2293.702314,2025
7,19-23 Jan 2026,3208.333333,3084.815,-1526.25125,3084.815,5500,Aktual,Mataram Baru,1743.82936,2025
8,26-30 Jan 2026,3666.666667,3803.17,-1466.62,3803.17,5500,Aktual,Padalarang,320.936242,2025
9,2-6 Feb 2026,4125,4560.924,-1283.2925,4521.525,5500,Aktual,Sekampung Udik,3229.15965,2025
10,9-13 Feb 2026,4583.333333,5501.008,-1099.965,4847.683333,5500,Proyeksi,Sidomulyo,4107.003323,2025
11,16-20 Feb 2026,5041.666667,,-916.6375,5173.841667,5500,Proyeksi,Sukadana,527.050779,2025
12,23-27 Feb 2026,5500,,-733.31,5500,5500,Proyeksi,Bandar Sribhawono,3152.58887,2024
,,,,,,,,Bumi Agung,480.481697,2024
,,,,,,,,Labuhan Ratu,4511.342137,2024
,,,,,,,,Marga Tiga,2441.082062,2024
,,,,,,,,Mataram Baru,3624.32153,2024
,,,,,,,,Sekampung Udik,4450.103791,2024
,,,,,,,,Sukadana,7140.027989,2024
,,,,,,,,Way Jepara,6288.559266,2024
